,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Built_up_area,Carpet_area,Super_built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
2196,flat,bptp terra,sector 37,1.67,7622.0,2191.0,Super Built up area 2191(203.55 sq.m.)Built Up area: 2091 sq.ft. (194.26 sq.m.)Carpet area: 1991 sq.ft. (184.97 sq.m.),4,4,3,11.0,West,Relatively New,2091.0,1991.0,2191.0,0,0,0,0,0,semifurnished,187
2197,flat,bptp terra,sector 37,1.45,8006.0,1811.0,Super Built up area 1811(168.25 sq.m.)Built Up area: 1711 sq.ft. (158.96 sq.m.)Carpet area: 1611 sq.ft. (149.67 sq.m.),3,3,3,8.0,South-East,Relatively New,1711.0,1611.0,1811.0,0,0,0,0,0,unfurnished,187
2198,flat,adani m2k oyster grande,sector 102,2.61,10046.0,2598.0,Super Built up area 2598(241.36 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,3,3,14.0,North-East,Relatively New,2200.0,2000.0,2598.0,1,1,0,0,0,unfurnished,26
2199,flat,indiabulls centrum park,sector 103,1.32,7787.0,1695.0,Super Built up area 1695(157.47 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3,3,4,6.0,North-East,Relatively New,1300.0,1200.0,1695.0,1,0,0,0,0,unfurnished,53
2200,flat,emaar gurgaon greens,sector 102,1.45,8787.0,1650.0,Super Built up area 1650(153.29 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),3,3,3,8.0,North-East,Relatively New,1300.0,1100.0,1650.0,0,1,0,0,0,unfurnished,53
2201,flat,signature the serenas,sohna road,0.28,57.0,49123.0,Carpet area: 48811 (4534.69 sq.m.),1,1,2,1.0,North-West,Relatively New,,48811.0,,1,0,0,0,0,unfurnished,40
2202,flat,eldeco accolade,sohna road,0.73,5775.0,1264.0,Super Built up area 1264(117.43 sq.m.)Carpet area: 730 sq.ft. (67.82 sq.m.),2,2,3,5.0,West,Relatively New,,730.0,1264.0,0,0,0,1,0,unfurnished,38
2203,flat,eldeco accolade,sohna road,0.71,4907.0,1447.0,Super Built up area 1457(135.36 sq.m.)Carpet area: 849 sq.ft. (78.87 sq.m.),2,2,4,10.0,North-East,Relatively New,,849.0,1457.0,1,0,0,0,0,unfurnished,53
2204,flat,eldeco accolade,sohna road,0.66,5181.0,1274.0,Super Built up area 1264(117.43 sq.m.)Carpet area: 730 sq.ft. (67.82 sq.m.),2,2,3,12.0,North-West,Relatively New,,730.0,1264.0,0,0,0,1,0,unfurnished,53
2205,flat,signature global park,sohna road,0.9,6254.0,1439.0,Carpet area: 1439 (133.69 sq.m.),3,3,3,3.0,North-West,Relatively New,,1439.0,,0,0,0,1,0,unfurnished,114
2206,flat,signature global park,sohna road,0.78,6404.0,1218.0,Carpet area: 1210 (112.41 sq.m.),3,3,3,1.0,South-East,Relatively New,,1210.0,,0,0,0,1,0,unfurnished,192
2207,flat,signature global park,sohna road,0.7,6071.0,1153.0,Carpet area: 1153 (107.12 sq.m.),3,3,3,2.0,North,Relatively New,,1153.0,,0,0,0,1,0,unfurnished,189
2208,flat,signature global park,sohna road,0.53,6295.0,842.0,Carpet area: 845 (78.5 sq.m.),2,2,2,1.0,East,Relatively New,,845.0,,0,0,0,1,0,unfurnished,210
2209,flat,signature global park,sohna road,0.52,6326.0,822.0,Carpet area: 822 (76.37 sq.m.),2,2,2,3.0,North-West,Relatively New,,822.0,,0,0,0,1,0,unfurnished,198
2210,flat,signature global park,sohna road,0.91,6289.0,1447.0,Carpet area: 1439 (133.69 sq.m.),3,3,3,1.0,West,Relatively New,,1439.0,,0,0,0,1,0,unfurnished,207
2211,flat,signature global park,sohna road,0.53,6386.0,830.0,Carpet area: 822 (76.37 sq.m.),2,2,2,2.0,North-East,Relatively New,,822.0,,0,0,0,1,0,unfurnished,210
2212,flat,corona optus,sector 37,1.2,6916.0,1735.0,Super Built up area 1735(161.19 sq.m.)Built Up area: 1635 sq.ft. (151.9 sq.m.)Carpet area: 1535 sq.ft. (142.61 sq.m.),3,4,3,8.0,South-West,Relatively New,1635.0,1535.0,1735.0,0,0,0,0,0,unfurnished,187
